,writer,book,birth,min_bookDate
62,http://dbpedia.org/resource/Joanna_Russ,http://dbpedia.org/resource/And_Chaos_Died;http://dbpedia.org/resource/The_Female_Man;http://dbpedia.org/resource/The_Two_of_Them;http://dbpedia.org/resource/The_Zanzibar_Cat,1937,1970
63,http://dbpedia.org/resource/Kovid_Gupta,http://dbpedia.org/resource/Kingdom_of_The_Soap_Queen:_The_Story_of_Balaji_Telefilms;http://dbpedia.org/resource/Redrawing_India:_The_Teach_For_India_Story,1988,2014
64,http://dbpedia.org/resource/NoViolet_Bulawayo,http://dbpedia.org/resource/We_Need_New_Names,1981,2013
65,http://dbpedia.org/resource/Kenneth_Roberts_(author),http://dbpedia.org/resource/Northwest_Passage_(novel),1885,1937
66,http://dbpedia.org/resource/Cynthia_Kadohata,http://dbpedia.org/resource/Kira-Kira,1956,2005
67,http://dbpedia.org/resource/Cyril_M._Kornbluth,http://dbpedia.org/resource/Gladiator-At-Law;http://dbpedia.org/resource/Not_This_August;http://dbpedia.org/resource/Search_the_Sky;http://dbpedia.org/resource/The_Space_Merchants;http://dbpedia.org/resource/The_Syndic;http://dbpedia.org/resource/Wolfbane_(novel),1923,1953
68,http://dbpedia.org/resource/D._H._Lawrence,http://dbpedia.org/resource/The_Lost_Girl;http://dbpedia.org/resource/The_Rainbow;http://dbpedia.org/resource/The_White_Peacock;http://dbpedia.org/resource/The_Trespasser_(novel),1885,1911
69,http://dbpedia.org/resource/Danielle_Steel,http://dbpedia.org/resource/A_Perfect_Stranger;http://dbpedia.org/resource/Kaleidoscope_(novel);http://dbpedia.org/resource/The_Gift_(Steel_novel),1947,1981
70,http://dbpedia.org/resource/David_Drake,http://dbpedia.org/resource/Ranks_of_Bronze;http://dbpedia.org/resource/Servant_of_the_Dragon;http://dbpedia.org/resource/The_Forlorn_Hope;http://dbpedia.org/resource/The_Gods_Return;http://dbpedia.org/resource/The_War_Machine;http://dbpedia.org/resource/With_the_Lightnings;http://dbpedia.org/resource/Hammer's_Slammers;http://dbpedia.org/resource/The_World_Turned_Upside_Down_(anthology),1945,1979
71,http://dbpedia.org/resource/David_Eddings,http://dbpedia.org/resource/Belgarath_the_Sorcerer;http://dbpedia.org/resource/High_Hunt;http://dbpedia.org/resource/Polgara_the_Sorceress;http://dbpedia.org/resource/The_Belgariad;http://dbpedia.org/resource/The_Elenium;http://dbpedia.org/resource/The_Malloreon;http://dbpedia.org/resource/The_Redemption_of_Althalus;http://dbpedia.org/resource/The_Rivan_Codex;http://dbpedia.org/resource/The_Tamuli;http://dbpedia.org/resource/Regina's_Song;http://dbpedia.org/resource/The_Dreamers_(novel_series),1931,1973
